LebwohlLasher.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.320, Time: 5.099582 s
         2757701 function calls (2742979 primitive calls) in 6.799 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:426(validate)
        3    0.000    0.000    0.000    0.000 __init__.py:43(private_class)
        6    0.000    0.000    0.000    0.000 __init__.py:431(_format)
        6    0.000    0.000    0.000    0.000 __init__.py:434(format)
        9    0.000    0.000    0.000    0.000 __init__.py:44(__init__)
        1    0.000    0.000    0.001    0.001 __init__.py:441(StrFormatStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:443(_get_xdg_config_dir)
        1    0.000    0.000    0.000    0.000 __init__.py:444(LibraryLoader)
        2    0.000    0.000    0.000    0.000 __init__.py:445(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:453(_get_xdg_cache_dir)
        2    0.000    0.000    0.000    0.000 __init__.py:462(_get_config_or_cache_dir)
        1    0.000    0.000    0.000    0.000 __init__.py:471(StringTemplateStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:494(get_configdir)
        1    0.000    0.000    0.000    0.000 __init__.py:5(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:506(PYFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:507(CFunctionType)
        1    0.000    0.000    0.000    0.000 __init__.py:510(Formatter)
        2    0.000    0.000    0.000    0.000 __init__.py:512(_get_data_path)
        1    0.000    0.000    0.000    0.000 __init__.py:513(get_cachedir)
        1    0.000    0.000    0.000    0.000 __init__.py:524(get_data_path)
        1    0.000    0.000    0.000    0.000 __init__.py:530(matplotlib_fname)
        1    0.000    0.000    0.000    0.000 __init__.py:543(maxdict)
        4    0.000    0.000    0.000    0.000 __init__.py:551(gen_candidates)
        1    0.000    0.000    0.000    0.000 __init__.py:553(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:555(__init__)
        8    0.000    0.000    0.000    0.000 __init__.py:56(fget)
        1    0.000    0.000    0.000    0.000 __init__.py:563(Stack)
        1    0.000    0.000    0.000    0.000 __init__.py:598(RcParams)
        1    0.000    0.000    0.002    0.002 __init__.py:6(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:61(ProjectionRegistry)
       33    0.000    0.000    0.001    0.000 __init__.py:620(__init__)
     1510    0.002    0.000    0.026    0.000 __init__.py:623(__setitem__)
        6    0.000    0.000    0.000    0.000 __init__.py:629(usesTime)
        6    0.000    0.000    0.000    0.000 __init__.py:635(formatMessage)
        1    0.000    0.000    0.000    0.000 __init__.py:64(__init__)
       13    0.000    0.000    0.000    0.000 __init__.py:65(check_isinstance)
        6    0.000    0.000    0.000    0.000 __init__.py:651(format)
      475    0.000    0.000    0.000    0.000 __init__.py:653(__getitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:67(register)
        1    0.000    0.000    0.000    0.000 __init__.py:688(BufferingFormatter)
      306    0.000    0.000    0.000    0.000 __init__.py:688(__iter__)
        1    0.000    0.000    0.000    0.000 __init__.py:712(copy)
        1    0.000    0.000    0.000    0.000 __init__.py:713(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:730(Filter)
       62    0.001    0.000    0.003    0.000 __init__.py:738(_open_file_or_url)
        2    0.000    0.000    0.000    0.000 __init__.py:75(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 __init__.py:75(UnidentifiedImageError)
     2329    0.000    0.000    0.000    0.000 __init__.py:759(<lambda>)
       31    0.007    0.000    0.042    0.001 __init__.py:759(_rc_params_in_file)
        1    0.000    0.000    0.000    0.000 __init__.py:767(Filterer)
        1    0.000    0.000    0.000    0.000 __init__.py:77(get_projection_names)
       26    0.000    0.000    0.000    0.000 __init__.py:772(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:783(Grouper)
       12    0.000    0.000    0.000    0.000 __init__.py:792(filter)
        1    0.000    0.000    0.001    0.001 __init__.py:8(<module>)
       39    0.000    0.000    0.000    0.000 __init__.py:80(<genexpr>)
        4    0.000    0.000    0.000    0.000 __init__.py:817(__init__)
        4    0.000    0.000    0.000    0.000 __init__.py:818(<dictcomp>)
       29    0.000    0.000    0.035    0.001 __init__.py:837(rc_params_from_file)
        1    0.000    0.000    0.000    0.000 __init__.py:839(_addHandlerRef)
        1    0.000    0.000    0.000    0.000 __init__.py:849(Handler)
