./code/LebwohlLasher_numba_parallel.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.328, Time: 2.061183 s
         14268641 function calls (13308636 primitive calls) in 11.318 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:1748(LoggerAdapter)
       48    0.000    0.000    0.000    0.000 __init__.py:1761(_str_equal)
       32    0.000    0.000    0.000    0.000 __init__.py:1772(_str_lower_equal)
       12    0.000    0.000    0.001    0.000 __init__.py:1783(_define_aliases)
        1    0.000    0.000    0.000    0.000 __init__.py:179(__getattr__)
       82    0.000    0.000    0.001    0.000 __init__.py:1804(make_alias)
        1    0.000    0.000    0.000    0.000 __init__.py:181(<lambda>)
       12    0.000    0.000    0.000    0.000 __init__.py:1824(get_aliased_and_aliases)
       56    0.000    0.000    0.000    0.000 __init__.py:1825(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:183(c_int)
        1    0.000    0.000    0.000    0.000 __init__.py:184(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:187(c_uint)
       37    0.000    0.000    0.000    0.000 __init__.py:189(_checkLevel)
        1    0.000    0.000    0.004    0.004 __init__.py:189(_check_versions)
        1    0.000    0.000    0.000    0.000 __init__.py:1892(FileMetadata)
       24    0.000    0.000    0.000    0.000 __init__.py:1904(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:191(c_float)
       42    0.000    0.000    0.000    0.000 __init__.py:1910(has_metadata)
       24    0.000    0.000    0.001    0.000 __init__.py:1913(get_metadata)
       24    0.000    0.000    0.000    0.000 __init__.py:1922(_warn_on_replacement)
       24    0.000    0.000    0.002    0.000 __init__.py:1929(get_metadata_lines)
        5    0.000    0.000    0.000    0.000 __init__.py:193(caching_module_getattr)
        1    0.000    0.000    0.000    0.000 __init__.py:1933(PathMetadata)
        1    0.000    0.000    0.000    0.000 __init__.py:195(c_double)
      756    0.001    0.000    0.001    0.000 __init__.py:1953(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1958(EggMetadata)
        4    0.000    0.000    0.000    0.000 __init__.py:1976(register_finder)
       12    0.000    0.000    0.000    0.000 __init__.py:1986(find_distributions)
        1    0.000    0.000    0.000    0.000 __init__.py:199(c_longdouble)
        5    0.000    0.000    0.041    0.008 __init__.py:2(<module>)
       36    0.000    0.000    0.001    0.000 __init__.py:2006(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:2020(_OrderedSet)
        2    0.000    0.000    0.000    0.000 __init__.py:2023(find_nothing)
       10    0.000    0.000    0.089    0.009 __init__.py:2030(_by_version_descending)
     3232    0.005    0.000    0.053    0.000 __init__.py:2045(try_parse)
      780    0.001    0.000    0.059    0.000 __init__.py:2054(_by_version)
      780    0.001    0.000    0.055    0.000 __init__.py:2060(<listcomp>)
      790    0.002    0.000    0.207    0.000 __init__.py:2065(find_on_path)
     2160    0.001    0.000    0.006    0.000 __init__.py:2077(<genexpr>)
      790    0.001    0.000    0.016    0.000 __init__.py:2085(<genexpr>)
